english,mandarin,pinyin
She wears a shawl with a mink,??????????,ta dài zhuó dài you diao pí de pi jian?
"`Abracadabra,' said the conjuror as he pulled the rabbit from the hat","?????????, ???????????.","mó shù shi kou zhòng niàn niàn you cí,  ba tù zi zòng li mào zhòng tao le chu lai?"
20 jin goes to 10 kilograms.,??????????,èr shí shì jin zhé hé shí gong jin?
A balcony is a platform with a wall.,?????????,yáng tái shì you qiáng de píng tái?
A belt of trees grew between the two fields.,????????????,liang kuài tián zhi jian you yi tiáo shù mù dài?
A black swan is rare.,???????,Hei tian é hen xi you?
A breeder means a person who breeds animals.,????????????,sì yang yuán jiù shì sì yang dòng wù de rén?
A cab will be there in ten minutes.,?10??????????????,guò10 fen zhong kuài you yi liàng chu zu qì che dào nà r?
A cadre must reach out to and be one with the masses.,??????????,????????,yi gè gàn bù bì xu lián xì qún zhòng, tóng qún zhòng da chéng yi piàn?
A canyon usually has a river flowing through it.,????????????,xiá gu cháng cháng you hé liú jing guò qí zhong?
A chance meeting brought the two old friends together again.,????????????????,ou rán de xiang yù shi liang wèi lao péng you chóng xin jù shou?
A cloud is a mass of vapor in the sky.,??????????,yún shì tian kong zhòng dì shui qì tuán?
A coal fell from the fire and burned the mat.,??????????,??????,yi kuài méi tàn zòng huo zhòng diào chu lai, shao huài le de xí?
A collector of rare insects will show us some of his latest discoveries.,???????????????????????,yi wèi xi you kun chóng cai jí jia jiàng ji wo men kàn yi xie ta de zuì xin fa xiàn?
A crowd gathered to see what had happened.,???????????????,yi qún rén jù long qi lai kàn fa sheng le shén me shì?
A disorderly demonstration will take place.,???????????,yi chang shì wei yóu xíng jiang yào fa sheng?
A funeral is a sombre occasion.,??????????,zàng li shì gè you yù de chang hé?
A German scientist interrupted me and asked if I came from China.,???????????,??????????,yi wèi Dé guó ke xué jia da duàn le wo, bìng wèn wo shì fou lái zì Zhong guó?
A glimpse of her face will tell you that she is innocent.,?????????????,??????,ni zhi yào yi kàn jiàn ta de lian jiù kuài míng bai, ta shì wú gu de?
A good dictionary is indispensable for learning a foreign language.,????????????,xué xí wài yu lí bù kai hao de cí dian?
A gust of wind blew the door shut.,??????,??????,yi zhèn dà feng chui lái, ba mén guan shàng le?
A holiday will be just the thing for you.,???????????,ni xiàn zài xu yào de jiù shì fàng jià?
A humid wind blew from the south.,??????????,shi rùn de feng zòng nán fang chui lái?
